,tweet_id,text,relevance,viewpoint
0,1255223015702478856,"@MudzungaR @CgaMoor Our ancestors were strong and fierce and we were created in their likeness and image, therefore we have NO doubt that we WILL achieve economic justice in the form of reparations because we don’t run, we fight EVEN if it means death!! EVERYONE else knows this and have spent 1/2",no,none
1,1254947368874635264,,no,none
2,1255160758045999105,"@BBoomer75 @NewCryptoGuide @pt0kes @palpatean @DasGooch fwiw white ppl in general have essentially decided to stop having enough children, hence the average ageing of the population",no,none
3,1255518739757498369,@JohnWDean Trump is trying awfully hard to end up like Mussolini.,no,none
4,1255535607641591808,"@GoFY3263 @DeanfromIT @WittaTwitta @AaronTimothy8 @CBSNews It's not hard, you're just lazy. Or unwilling. Go search Trump's unpaid debts, or something like that. Pick your own source. Here's a few that popped up...

https://t.co/4Sv7UKLQtd

2/x....",no,none
5,1255320667760852994,"@ChanelRion @OANN @jennfranconews Just stop, the country is dead ass broke and in debt. Only option is to open the economy.",no,none
6,1255264584480555010,@universbutera ohhh t’es trop gentille 🥺🥺 mais est-ce que ari elle check ses dms même?,not english,NA
7,1255487778416140288,@BreitbartNews No. But its useless,no,none
8,1256693769543528450,@Strandjunker 🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐,not english,NA
9,1255279088077586432,I saw more opportunities for change in communities by focusing more on policy and understanding the importance of advocacy. That is the reason why I think healthcare is an important part of policy change for me and others. I wanted to vote for people who believe in this too,no,none
10,1255278684744953857,@dawar_adnan1 @ArnoldSwachn1g @BhatMannan @Eydris_ @Anthony36997311 @farrazisastoner @Nahviception @SUNEEEM @BurhanRiyaz1 @dodmutaashiq Darth Vader I mean.😌,no,none
11,1255155468378312706,@jjz1600 @fourthgulch The president likes LEGAL immigration. He doesn’t like ILLEGAL immigration. Do nothing Dems always leave that point out and we’re sick of it.,yes,diagnostic
12,1255169242111983616,@sobatkuman_ ntar mau coba nangis,not english,NA
13,1255186398241607682,"Let's settle this, folks

Which state has the worst governor? Go!",no,none
14,943878163444113408,"@BgoodPlease @TheGameOfLife @Leanne_Barden @ReginaPeele @MaddowBlog The GOP has accepted hundreds of millions of dollars from Russian oligarchs and huge corporations. If they don't go along for the ride they lose the money. Here's an example - the Paris agreement and what the GOP received by dumping it.
#FollowTheMoney https://t.co/slmRiDPlWk",no,none
15,1256684489947746304,@girlsreallyrule Out in the open is his MO,no,none
16,1255655084094038018,"@nabilelhalfawy يا قبطان
أنا بحب محمد ممدوح
بس كتير مبعرفش هوه بيقول ايه
😂😂😂",not english,NA
17,1255562814552498177,"@stevebob4212 @SteveB71969175 @charliekirk11 Oh that hurt so much. Moron. 
Don’t you just love Dear Leader’s new suit. It’s just the most beautiful suit ever. https://t.co/i4VyLIYGvH",no,none
18,1255167168616042501,"@Incognigro2 @TheB_sKnees @greg_price11 What is a UFO cult? I've been following the subject for 2 years, never ran into one.",no,none
19,1255229767273656320,,no,none
20,1255567684806283265,@HawaiiDelilah @Cyd9406 That's journalism biden alright,no,none
21,1255841403428638721,@marcuslemonis Worked with my local bank and got approval and money in my account on 4/18,no,none
22,1255220936430714881,"@GavinNewsom You are showing up in your leadership for COVID19
This video is disturbing and needs to be addressed. No child should be subject to police misuse of power. https://t.co/EHpga50nIa",no,none
23,1297019148892069888,"@pigfacedraper @Cernovich @HillaryClinton @JoeBiden lost everything coming forward. I lost my work, housing, money, everything because I spoke out against one of the most powerful members of the Democratic Party.""",no,none
24,1255297829830103040,"@prolibertate7 @seanhannity you didn’t answer the question.
but you say no republican believes what @AOC said... so they don’t believe american citizens should have these basic things. yes? https://t.co/5Am7FnqgY9",no,none
25,1255059184363724800,"@ktcakes771 @MissiWhite4 @Sensus_Fidelium @LifeNewsHQ @FortuneUSNews Also, tell you Catholic church to stop abusing children.",no,none
26,1255175203425972225,"@Yamiche @itscaitlinhd @mirjordan The focus should be on testing, health response procedures and urgent enforcement of safer working conditions.",no,none
27,1255249325090840579,@WritesMore @realDonaldTrump We CAN impeach him again.,no,none
28,1265807830876958720,"@MeMysel05558804 @cellardoorstep @JackPosobiec @DiamondandSilk @OANN 'Liberals won't debate me"" ""You've been muted"" 

More emotional-based assumptions?

Typical, instead of being the adult you pretend to be you run off like the coward you are.

I get a govt check from the VA, it's what happens when you are wounded in combat. Fuck veterans, right?",no,none
29,1255280041753272320,@_Buddhist_Punk_ I checked into their immigration policies. It appears you just have to have a job in place before moving there. #GoodIdea,yes,none
30,1362376880620527622,"@tariq22qamar @AyeshaSultana95 @DubaiPoliceHQ Yeah, most of my friends drive since teenage. They never said anything.",no,none
31,1254927854963433472,@PressSec @realDonaldTrump The man is a complete failure https://t.co/GXzWnUAboJ,no,none
32,1253738244711342089,,no,none
33,1255727659629162497,"@Blacknell @BlueAngels @AFThunderbirds We can't even get bread in Laughlin, NV! 
The only grocery store closed. Food distributors won't deliver. [Too small &amp; too far?]",no,counter
34,1255263130671857666,,no,none
35,1255254156358672384,"sources

https://t.co/dcgVsBDx9g

https://t.co/8FuIZQoZrn",no,none
36,1257742231999406080,,no,none
37,1256991982515302400,"@sumusamu000 @El_Alquimista85 Anyway, she's a little insensitive because she only accuses Latinos of thieves and not Americans admit that she misspoken. Cause she never said that Americans or Europeans or other Asian countries are thieves only latinos why?",no,none
38,1256577558109454336,"@MaNomDeGuerre @mikeycoop @krystalball @ninaturner Shhhhh, now you're just embarrassing yourself. We get it. You're a Trump troll account, you got called out.
Now go switch your screename and try again, you exposed this one. https://t.co/aIjA5Bpwxl",no,none
39,1255492766043430915,"@SaVonniYestanti @HawaiiDelilah My Sharpie. 
#SharpieWars",no,none
40,1255732013060943872,@AdamSerwer @BettyFellows Up is down and down is up.,no,none
41,1255286661094703104,"6) to say “my heart weeps” for all the unnecessary deaths, but my heart weeps for all of them, and the disproportional numbers in the black community and the disproportional numbers of our precious elderly individuals, and the disproportional numbers of native Americans and",no,counter
42,1255633531381964801,"@Checkered24 @christapeterso I figure what is in the box would be Cuomo. Who is also awful, but also much less likely to lose.",no,none
43,1254903971682156547,,no,none
44,1255542317081116672,@Stonekettle https://t.co/IDT56Tbpvc,no,none
45,1255213971113758722,,no,none
46,1255085855594733569,,no,none
47,1255870893806571521,"@MirrorMirrorOn6 @AdamSchefter Dallas Cowboys, Please Retract Your Lies. You can't win with the toxic environment in your licensing dept.

Why did you try to destroy an American business that supported you for 14 years.
https://t.co/6Ple2L5r0M

Boycott @dallascowboys 
Boycott @Fanatics",no,none
48,1255058126073663489,,no,none
49,1255240341176881153,"THREAD. I don't see how this kind of condition could be constitutional. It's true that the federal government (had: Congress, but let's leave that aside for a second) can use its spending power to ""nudge"" states towards policies it favors. But it's problematic in this context: https://t.co/ty39HtzyQk",no,none
50,1255657228264189955,"@MarshallCohen @MayoClinic MayoClinic doing a coverup? Where's the Ethics Committee on this scandal?

#MayoClinic I assume masks are optional? You can't practice selective controls. All human beings are capable of transmitting this virus. Why would you expose so many vulnerable people?

Hypocrites!!",no,none
51,1257351138019553287,@ahluv2 @RalphCoolbaugh @MassGovernor Right. The area under the curve stays the same. That is the total number of infections never changes- we just push it out. There is some infection rate where the death rate does not increase... but Charlie is in CYA mode- understandable since he is A GOPER in a blue state.,no,none
52,1255321400581242882,"@GailLohrman You too, Gail.",no,none
53,1276215115356962822,@mrweidmann @david01065991 @TinkerinMD @ClastonB @RealDeanCain His opportunity zones are just tax havens for his developer friends. Border wall is another excuse to prop up construction project for friends. He’s inserted his whole family into the mix which creates more conflicts of interest. Don’t get me started on Kushner. There is a reason,yes,counter
54,1255626382459187211,@SenAmyKlobuchar Amy Amy.   How dare you blame trump for delaying any testing   You are f****** delusional.  You know the F****** truth.   Unbelievable democrat 🤦‍♀️,no,diagnostic
55,1255172174496792586,@KoejiLaurant DKSLJA;FSDLKF,no,none
