,tweet_id,viewpoint,incivility
1255499209236717570,1255499209236717570,L1,0.0
1255272961331822593,1255272961331822593,L1,0.0
1255484280916115458,1255484280916115458,L1,0.0
1255274302750031872,1255274302750031872,L3,1.0
1255287074565115904,1255287074565115904,L1,0.0
1255242628502827009,1255242628502827009,L2,0.0
1255237070152400899,1255237070152400899,L1,0.0
1255477426009919490,1255477426009919490,L1,0.0
1255666367673651201,1255666367673651201,L1,0.0
1255324103583698945,1255324103583698945,L1,0.0
1255282601075630080,1255282601075630080,L4,0.0
1255259849354629122,1255259849354629122,L1,0.0
1255249533161934849,1255249533161934849,L1,0.0
1255410166821945350,1255410166821945350,L1,0.0
1255307975864049664,1255307975864049664,L1,0.0
1255242670131351560,1255242670131351560,L1,0.0
1255240031553323011,1255240031553323011,L1,0.0
1255545209678675977,1255545209678675977,L1,0.0
1255241592295895041,1255241592295895041,L1,0.0
1255273142458757121,1255273142458757121,L1,0.0
1255506629178667015,1255506629178667015,L1,0.0
1255307496014610432,1255307496014610432,L1,0.0
1255478270801383430,1255478270801383430,L1,0.0
1255523661429248000,1255523661429248000,L2,0.0
1255316156262604801,1255316156262604801,L1,0.0
1255251184820064256,1255251184820064256,L4,1.0
1257002849906679809,1257002849906679809,L1,0.0
1271838085937016832,1271838085937016832,L1,0.0
1255228401331441664,1255228401331441664,L1,0.0
1255250228573343744,1255250228573343744,L1,0.0
1255489932136759296,1255489932136759296,L4,1.0
1255380171445743617,1255380171445743617,L1,0.0
1255367190188089344,1255367190188089344,L1,0.0
1255377726573338624,1255377726573338624,L1,0.0
1255252138239942656,1255252138239942656,L1,0.0
1255289741248954373,1255289741248954373,L1,1.0
1255226278967476224,1255226278967476224,L1,0.0
1255222785296732162,1255222785296732162,L1,0.0
1255222300443631616,1255222300443631616,L1,0.0
1255936274604711948,1255936274604711948,L1,1.0
1255365774048444418,1255365774048444418,L1,0.0
1255892156482543617,1255892156482543617,L4,0.0
1255301730222452737,1255301730222452737,L2,0.0
1255290414501957632,1255290414501957632,L4,0.0
1255305449655730176,1255305449655730176,L1,0.0
1255290427651117058,1255290427651117058,L1,0.0
1255291069761294336,1255291069761294336,L3,0.0
1255220992596750339,1255220992596750339,L1,0.0
1255268727161061376,1255268727161061376,L1,0.0
1255217397096755201,1255217397096755201,L1,0.0
1255219900530003970,1255219900530003970,L1,0.0
